,City,Center,Date,Year,Month,Season,PM1_0,PM2_5,PM10,Temperature_F,Humidity_%,AQI,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
0,Yangon,7 Miles Mayangone,10/20/2019 0:00,2019,October,Rainy Season,29.6,44.27,52.87,95.67,49.64,122.59,0,0,0,0
1,Yangon,7 Miles Mayangone,10/21/2019 0:00,2019,October,Rainy Season,25.22,37.49,45.21,94.42,51.67,105.9,0,0,0,0
2,Yangon,7 Miles Mayangone,10/22/2019 0:00,2019,October,Rainy Season,24.46,35.84,42.32,95.4,49.26,101.84,0,0,0,0
3,Yangon,7 Miles Mayangone,10/23/2019 0:00,2019,October,Rainy Season,23.42,34.53,41.37,96.39,48.06,98.17,0,0,0,0
4,Yangon,7 Miles Mayangone,10/24/2019 0:00,2019,October,Rainy Season,38.29,56.55,68.59,93.7,57.11,151.54,0,0,0,0
5,Yangon,7 Miles Mayangone,10/25/2019 0:00,2019,October,Rainy Season,49.67,71.63,83.17,94.71,54.31,159.33,0,0,0,0
6,Yangon,7 Miles Mayangone,10/26/2019 0:00,2019,October,Rainy Season,36.13,52.56,63.72,95.12,52.56,143.01,0,0,0,0
7,Yangon,7 Miles Mayangone,10/27/2019 0:00,2019,October,Rainy Season,33.6,49.34,60.93,92.62,57.75,135.08,0,0,0,0
8,Yangon,7 Miles Mayangone,10/28/2019 0:00,2019,October,Rainy Season,32.67,47.93,59.21,92.98,56.14,131.61,0,0,0,0
9,Yangon,7 Miles Mayangone,10/29/2019 0:00,2019,October,Rainy Season,26.61,38.88,44.72,92.16,55.54,109.32,0,0,0,0
10,Yangon,7 Miles Mayangone,10/30/2019 0:00,2019,October,Rainy Season,24.87,36.11,44.08,93.65,52.19,102.5,0,0,0,0
11,Yangon,7 Miles Mayangone,10/31/2019 0:00,2019,October,Rainy Season,26.57,38.38,46.61,93.55,52.86,108.09,0,0,0,0
12,Yangon,7 Miles Mayangone,11/1/2019 0:00,2019,November,Cool Season,30.77,44.17,53.75,94.28,51.33,122.35,0,0,0,0
13,Yangon,7 Miles Mayangone,11/2/2019 0:00,2019,November,Cool Season,34.09,48.22,56.49,94.52,47.87,132.32,0,0,0,0
14,Yangon,7 Miles Mayangone,11/3/2019 0:00,2019,November,Cool Season,28.43,40.8,49.13,94.12,52.0,114.05,0,0,0,0
15,Yangon,7 Miles Mayangone,11/4/2019 0:00,2019,November,Cool Season,21.45,30.67,36.98,90.73,57.43,90.05,0,0,0,0
16,Yangon,7 Miles Mayangone,11/5/2019 0:00,2019,November,Cool Season,27.17,37.57,49.94,90.96,56.8,106.1,0,0,0,0
17,Yangon,7 Miles Mayangone,11/6/2019 0:00,2019,November,Cool Season,31.73,47.78,57.66,88.89,59.67,131.24,0,0,0,0
18,Yangon,7 Miles Mayangone,11/7/2019 0:00,2019,November,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37,0,0,0,0
19,Yangon,7 Miles Mayangone,11/8/2019 0:00,2019,November,Cool Season,31.74,48.01,60.28,87.1,63.01,131.8,0,0,0,0
20,Yangon,7 Miles Mayangone,11/9/2019 0:00,2019,November,Cool Season,37.95,58.09,70.5,90.42,55.14,152.34,0,0,0,0
21,Yangon,7 Miles Mayangone,11/10/2019 0:00,2019,November,Cool Season,42.35,65.93,80.61,91.33,52.82,156.39,0,0,0,0
22,Yangon,7 Miles Mayangone,11/11/2019 0:00,2019,November,Cool Season,27.63,43.25,54.88,92.43,51.33,120.08,0,0,0,0
23,Yangon,7 Miles Mayangone,11/12/2019 0:00,2019,November,Cool Season,31.59,48.62,60.76,93.11,51.06,133.31,0,0,0,0
24,Yangon,7 Miles Mayangone,11/13/2019 0:00,2019,November,Cool Season,24.92,38.53,48.63,93.49,52.87,108.46,0,0,0,0
25,Yangon,7 Miles Mayangone,11/14/2019 0:00,2019,November,Cool Season,22.2,32.75,40.08,92.03,52.86,94.43,0,0,0,0
26,Yangon,7 Miles Mayangone,11/15/2019 0:00,2019,November,Cool Season,22.42,32.83,40.32,93.49,50.0,94.6,0,0,0,0
27,Yangon,7 Miles Mayangone,11/16/2019 0:00,2019,November,Cool Season,22.84,33.45,40.25,93.8,49.65,95.9,0,0,0,0
28,Yangon,7 Miles Mayangone,11/17/2019 0:00,2019,November,Cool Season,23.63,34.66,41.66,94.09,51.05,98.44,0,0,0,0
29,Yangon,7 Miles Mayangone,11/18/2019 0:00,2019,November,Cool Season,30.23,45.11,56.4,93.63,51.5,124.66,0,0,0,0
30,Yangon,7 Miles Mayangone,11/19/2019 0:00,2019,November,Cool Season,43.29,62.23,72.21,92.49,47.89,154.47,0,0,0,0
31,Yangon,7 Miles Mayangone,11/20/2019 0:00,2019,November,Cool Season,37.46,54.24,66.57,91.63,49.68,147.14,0,0,0,0
32,Yangon,7 Miles Mayangone,11/21/2019 0:00,2019,November,Cool Season,38.75,57.26,70.16,91.73,46.69,151.91,0,0,0,0
33,Yangon,7 Miles Mayangone,11/22/2019 0:00,2019,November,Cool Season,29.67,44.17,54.47,92.18,45.64,122.35,0,0,0,0
34,Yangon,7 Miles Mayangone,11/23/2019 0:00,2019,November,Cool Season,31.62,46.96,59.11,92.38,47.45,129.22,0,0,0,0
35,Yangon,7 Miles Mayangone,11/24/2019 0:00,2019,November,Cool Season,30.81,46.02,57.06,91.87,48.17,126.9,0,0,0,0
36,Yangon,7 Miles Mayangone,11/25/2019 0:00,2019,November,Cool Season,33.17,49.03,60.09,91.07,43.26,134.32,0,0,0,0
37,Yangon,7 Miles Mayangone,11/26/2019 0:00,2019,November,Cool Season,35.4,54.01,67.37,90.76,43.04,146.58,0,0,0,0
38,Yangon,7 Miles Mayangone,11/27/2019 0:00,2019,November,Cool Season,23.52,35.25,44.19,92.23,42.42,99.68,0,0,0,0
39,Yangon,7 Miles Mayangone,11/28/2019 0:00,2019,November,Cool Season,26.82,40.01,50.35,92.91,45.24,112.11,0,0,0,0
40,Yangon,7 Miles Mayangone,11/29/2019 0:00,2019,November,Cool Season,29.83,43.6,54.36,92.85,46.42,120.94,0,0,0,0
41,Yangon,7 Miles Mayangone,11/30/2019 0:00,2019,November,Cool Season,36.96,55.05,68.58,90.5,51.37,149.14,0,0,0,0
42,Yangon,7 Miles Mayangone,12/1/2019 0:00,2019,December,Cool Season,29.35,43.67,55.66,92.43,44.65,121.12,0,0,0,0
43,Yangon,7 Miles Mayangone,12/2/2019 0:00,2019,December,Cool Season,30.5,44.28,53.95,92.41,43.37,122.62,0,0,0,0
44,Yangon,7 Miles Mayangone,12/3/2019 0:00,2019,December,Cool Season,26.22,38.4,48.21,91.99,45.52,108.14,0,0,0,0
45,Yangon,7 Miles Mayangone,12/4/2019 0:00,2019,December,Cool Season,33.14,49.53,62.5,90.02,40.4,135.55,0,0,0,0
46,Yangon,7 Miles Mayangone,12/5/2019 0:00,2019,December,Cool Season,32.95,49.35,62.53,88.53,38.92,135.1,0,0,0,0
47,Yangon,7 Miles Mayangone,12/6/2019 0:00,2019,December,Cool Season,31.01,46.6,58.66,85.64,36.44,128.33,0,0,0,0
48,Yangon,7 Miles Mayangone,12/7/2019 0:00,2019,December,Cool Season,31.66,47.75,60.16,83.57,34.65,131.16,0,0,0,0
49,Yangon,7 Miles Mayangone,12/8/2019 0:00,2019,December,Cool Season,36.88,55.08,69.07,82.76,35.14,149.21,0,0,0,0
50,Yangon,7 Miles Mayangone,12/9/2019 0:00,2019,December,Cool Season,38.63,58.04,73.48,82.93,38.42,152.31,0,0,0,0
51,Yangon,7 Miles Mayangone,12/10/2019 0:00,2019,December,Cool Season,42.77,64.07,79.96,82.98,42.65,155.42,0,0,0,0
52,Yangon,7 Miles Mayangone,12/11/2019 0:00,2019,December,Cool Season,44.75,67.17,82.58,84.63,42.16,157.03,0,0,0,0
53,Yangon,7 Miles Mayangone,12/12/2019 0:00,2019,December,Cool Season,42.65,65.0,81.56,85.8,42.68,155.91,0,0,0,0
54,Yangon,7 Miles Mayangone,12/13/2019 0:00,2019,December,Cool Season,46.4,71.28,90.04,86.5,42.07,159.15,0,0,0,0
55,Yangon,7 Miles Mayangone,12/14/2019 0:00,2019,December,Cool Season,35.26,54.07,70.22,87.07,42.24,146.73,0,0,0,0
56,Yangon,7 Miles Mayangone,12/15/2019 0:00,2019,December,Cool Season,27.03,41.23,54.2,88.42,38.52,115.11,0,0,0,0
57,Yangon,7 Miles Mayangone,12/16/2019 0:00,2019,December,Cool Season,29.4,44.38,57.0,88.81,40.97,122.87,0,0,0,0
58,Yangon,7 Miles Mayangone,12/17/2019 0:00,2019,December,Cool Season,29.25,44.4,58.27,88.9,40.83,122.91,0,0,0,0
59,Yangon,7 Miles Mayangone,12/18/2019 0:00,2019,December,Cool Season,31.93,48.48,62.4,89.95,37.97,132.96,0,0,0,0
60,Yangon,7 Miles Mayangone,12/19/2019 0:00,2019,December,Cool Season,19.18,28.92,33.4,91.19,53.36,86.37,0,0,0,0
61,Yangon,7 Miles Mayangone,12/20/2019 0:00,2019,December,Cool Season,29.34,44.59,59.39,88.53,47.01,123.38,0,0,0,0
62,Yangon,7 Miles Mayangone,12/21/2019 0:00,2019,December,Cool Season,30.77,46.51,59.34,90.56,41.83,128.11,0,0,0,0
63,Yangon,7 Miles Mayangone,12/22/2019 0:00,2019,December,Cool Season,24.14,36.63,48.02,89.98,38.36,103.78,0,0,0,0
64,Yangon,7 Miles Mayangone,12/23/2019 0:00,2019,December,Cool Season,32.68,48.39,61.89,88.33,39.16,132.74,0,0,0,0
65,Yangon,7 Miles Mayangone,12/24/2019 0:00,2019,December,Cool Season,28.41,42.5,54.9,87.99,39.73,118.24,0,0,0,0
66,Yangon,7 Miles Mayangone,12/25/2019 0:00,2019,December,Cool Season,27.47,41.59,53.9,88.68,39.1,116.0,0,0,0,0
67,Yangon,7 Miles Mayangone,12/26/2019 0:00,2019,December,Cool Season,37.95,56.85,72.3,87.01,42.6,151.7,0,0,0,0
68,Yangon,7 Miles Mayangone,12/27/2019 0:00,2019,December,Cool Season,35.03,53.33,70.05,88.62,40.65,144.9,0,0,0,0
69,Yangon,7 Miles Mayangone,12/28/2019 0:00,2019,December,Cool Season,25.08,38.18,50.35,88.1,42.43,107.6,0,0,0,0
70,Yangon,7 Miles Mayangone,12/29/2019 0:00,2019,December,Cool Season,17.58,27.05,34.74,86.83,41.75,82.44,0,0,0,0
71,Yangon,7 Miles Mayangone,12/30/2019 0:00,2019,December,Cool Season,16.1,24.77,31.09,87.77,39.57,77.65,0,0,0,0
72,Yangon,7 Miles Mayangone,12/31/2019 0:00,2019,December,Cool Season,22.23,33.9,43.81,88.81,42.0,96.85,0,0,0,0
73,Yangon,7 Miles Mayangone,1/1/2020 0:00,2020,January,Cool Season,19.2,29.18,37.2,89.81,38.03,86.92,0,0,0,0
74,Yangon,7 Miles Mayangone,1/2/2020 0:00,2020,January,Cool Season,20.09,30.19,38.57,89.58,40.08,89.04,0,0,0,0
75,Yangon,7 Miles Mayangone,1/3/2020 0:00,2020,January,Cool Season,20.93,31.3,39.97,90.39,42.12,91.38,0,0,0,0
76,Yangon,7 Miles Mayangone,1/4/2020 0:00,2020,January,Cool Season,23.2,34.7,45.0,91.35,41.47,98.53,0,0,0,0
77,Yangon,7 Miles Mayangone,1/5/2020 0:00,2020,January,Cool Season,22.99,34.27,43.87,91.28,42.46,97.62,0,0,0,0
78,Yangon,7 Miles Mayangone,1/6/2020 0:00,2020,January,Cool Season,20.76,31.1,39.51,91.39,40.68,90.96,0,0,0,0
79,Yangon,7 Miles Mayangone,1/7/2020 0:00,2020,January,Cool Season,28.96,44.22,57.3,88.65,40.67,122.47,0,0,0,0
80,Yangon,7 Miles Mayangone,1/8/2020 0:00,2020,January,Cool Season,25.63,39.22,52.09,90.6,38.25,110.16,0,0,0,0
81,Yangon,7 Miles Mayangone,1/9/2020 0:00,2020,January,Cool Season,27.06,40.72,52.77,92.26,35.71,113.85,0,0,0,0
82,Yangon,7 Miles Mayangone,1/10/2020 0:00,2020,January,Cool Season,26.6,40.21,52.02,90.4,34.77,112.6,0,0,0,0
83,Yangon,7 Miles Mayangone,1/11/2020 0:00,2020,January,Cool Season,23.64,35.97,47.12,89.45,41.04,102.16,0,0,0,0
84,Yangon,7 Miles Mayangone,1/12/2020 0:00,2020,January,Cool Season,22.67,34.67,46.22,88.54,34.71,98.46,0,0,0,0
85,Yangon,7 Miles Mayangone,1/13/2020 0:00,2020,January,Cool Season,34.98,52.81,68.2,88.27,38.09,143.62,0,0,0,0
86,Yangon,7 Miles Mayangone,1/14/2020 0:00,2020,January,Cool Season,29.24,44.22,58.05,89.74,40.19,122.47,0,0,0,0
87,Yangon,7 Miles Mayangone,1/15/2020 0:00,2020,January,Cool Season,22.0,37.01,43.27,90.65,39.16,104.72,0,0,0,0
88,Yangon,7 Miles Mayangone,1/16/2020 0:00,2020,January,Cool Season,23.5,35.42,46.93,89.77,35.36,100.04,0,0,0,0
89,Yangon,7 Miles Mayangone,1/17/2020 0:00,2020,January,Cool Season,24.04,35.94,47.24,90.28,32.56,102.08,0,0,0,0
90,Yangon,7 Miles Mayangone,1/18/2020 0:00,2020,January,Cool Season,23.72,36.55,46.53,89.48,35.78,103.59,0,0,0,0
91,Yangon,7 Miles Mayangone,1/19/2020 0:00,2020,January,Cool Season,24.32,36.26,48.28,90.15,37.44,102.87,0,0,0,0
92,Yangon,7 Miles Mayangone,1/20/2020 0:00,2020,January,Cool Season,22.59,33.73,44.04,91.3,37.22,96.49,0,0,0,0
93,Yangon,7 Miles Mayangone,1/21/2020 0:00,2020,January,Cool Season,21.19,31.7,41.09,92.05,38.23,92.22,0,0,0,0
94,Yangon,7 Miles Mayangone,1/22/2020 0:00,2020,January,Cool Season,21.29,32.21,42.54,92.15,35.54,93.29,0,0,0,0
95,Yangon,7 Miles Mayangone,1/23/2020 0:00,2020,January,Cool Season,18.81,28.3,37.14,91.02,33.93,85.07,0,0,0,0
96,Yangon,7 Miles Mayangone,1/24/2020 0:00,2020,January,Cool Season,21.87,33.18,44.2,89.91,34.88,95.33,0,0,0,0
97,Yangon,7 Miles Mayangone,1/25/2020 0:00,2020,January,Cool Season,21.41,32.5,43.09,86.04,31.69,93.9,0,0,0,0
98,Yangon,7 Miles Mayangone,1/26/2020 0:00,2020,January,Cool Season,21.9,33.16,43.64,85.95,32.82,95.29,0,0,0,0
99,Yangon,7 Miles Mayangone,1/27/2020 0:00,2020,January,Cool Season,22.61,34.38,45.6,84.8,34.39,97.85,0,0,0,0
100,Yangon,7 Miles Mayangone,1/28/2020 0:00,2020,January,Cool Season,22.28,33.47,44.47,87.07,34.18,95.94,0,0,0,0
101,Yangon,7 Miles Mayangone,1/29/2020 0:00,2020,January,Cool Season,28.76,43.12,57.82,86.68,37.07,119.76,0,0,0,0
102,Yangon,7 Miles Mayangone,1/30/2020 0:00,2020,January,Cool Season,27.85,42.81,56.23,89.42,36.53,119.0,0,0,0,0
103,Yangon,7 Miles Mayangone,1/31/2020 0:00,2020,January,Cool Season,38.67,58.57,69.61,88.52,41.82,152.59,0,0,0,0
104,Yangon,7 Miles Mayangone,2/1/2020 0:00,2020,February,Cool Season,52.34,78.67,90.42,87.76,43.92,162.96,0,0,0,0
105,Yangon,7 Miles Mayangone,2/2/2020 0:00,2020,February,Cool Season,41.7,64.13,76.26,87.65,37.18,155.46,0,0,0,0
106,Yangon,7 Miles Mayangone,2/3/2020 0:00,2020,February,Cool Season,38.58,58.16,71.26,87.69,31.75,152.37,0,0,0,0
107,Yangon,7 Miles Mayangone,2/4/2020 0:00,2020,February,Cool Season,52.78,75.48,87.33,84.31,32.24,161.32,0,0,0,0
108,Yangon,7 Miles Mayangone,2/5/2020 0:00,2020,February,Cool Season,43.56,63.18,74.45,84.67,38.68,154.97,0,0,0,0
109,Yangon,7 Miles Mayangone,2/6/2020 0:00,2020,February,Cool Season,45.09,111.8,77.92,85.32,40.79,180.07,0,0,0,0
110,Yangon,7 Miles Mayangone,2/7/2020 0:00,2020,February,Cool Season,63.35,92.48,104.97,86.8,42.05,170.09,0,0,0,0
111,Yangon,7 Miles Mayangone,2/8/2020 0:00,2020,February,Cool Season,79.23,116.53,131.69,87.94,43.5,182.51,0,0,0,0
112,Yangon,7 Miles Mayangone,2/9/2020 0:00,2020,February,Cool Season,63.49,93.56,107.83,89.28,37.96,170.65,0,0,0,0
113,Yangon,7 Miles Mayangone,2/10/2020 0:00,2020,February,Cool Season,61.72,91.25,102.86,90.34,37.75,169.46,0,0,0,0
114,Yangon,7 Miles Mayangone,2/11/2020 0:00,2020,February,Cool Season,51.49,77.28,92.44,90.47,31.47,162.25,0,0,0,0
115,Yangon,7 Miles Mayangone,2/12/2020 0:00,2020,February,Cool Season,35.55,56.51,63.54,90.04,31.83,151.52,0,0,0,0
116,Yangon,7 Miles Mayangone,2/13/2020 0:00,2020,February,Cool Season,34.86,53.58,65.67,87.72,34.88,145.52,0,0,0,0
117,Yangon,7 Miles Mayangone,2/14/2020 0:00,2020,February,Cool Season,48.24,77.29,90.13,84.75,41.11,162.25,0,0,0,0
118,Yangon,7 Miles Mayangone,2/15/2020 0:00,2020,February,Cool Season,64.9,102.36,116.01,85.82,44.18,175.2,0,0,0,0
119,Yangon,7 Miles Mayangone,2/16/2020 0:00,2020,February,Cool Season,62.41,99.97,112.68,86.66,48.47,173.96,0,0,0,0
120,Yangon,7 Miles Mayangone,2/17/2020 0:00,2020,February,Cool Season,55.17,85.62,98.04,87.36,43.45,166.55,0,0,0,0
121,Yangon,7 Miles Mayangone,2/18/2020 0:00,2020,February,Cool Season,50.83,78.0,91.79,88.38,41.14,162.62,0,0,0,0
122,Yangon,7 Miles Mayangone,2/19/2020 0:00,2020,February,Cool Season,42.96,63.98,75.79,89.72,40.89,155.38,0,0,0,0
123,Yangon,7 Miles Mayangone,2/20/2020 0:00,2020,February,Cool Season,42.36,61.24,72.14,89.92,33.82,153.96,0,0,0,0
124,Yangon,7 Miles Mayangone,2/21/2020 0:00,2020,February,Cool Season,65.23,94.56,106.76,90.66,36.37,171.17,0,0,0,0
125,Yangon,7 Miles Mayangone,2/22/2020 0:00,2020,February,Cool Season,84.51,121.86,134.55,89.73,39.92,185.26,0,0,0,0
126,Yangon,7 Miles Mayangone,2/23/2020 0:00,2020,February,Cool Season,79.14,112.3,122.55,90.6,38.19,180.33,0,0,0,0
127,Yangon,7 Miles Mayangone,2/24/2020 0:00,2020,February,Cool Season,82.81,119.42,130.7,90.83,38.86,184.0,0,0,0,0
128,Yangon,7 Miles Mayangone,2/25/2020 0:00,2020,February,Cool Season,67.29,97.44,108.61,90.58,33.03,172.66,0,0,0,0
129,Yangon,7 Miles Mayangone,2/26/2020 0:00,2020,February,Cool Season,76.85,110.72,122.79,90.04,34.46,179.51,0,0,0,0
130,Yangon,7 Miles Mayangone,2/27/2020 0:00,2020,February,Cool Season,71.56,104.77,116.74,90.24,35.26,176.44,0,0,0,0
131,Yangon,7 Miles Mayangone,2/28/2020 0:00,2020,February,Cool Season,63.23,92.92,104.94,90.15,35.52,170.32,0,0,0,0
132,Yangon,7 Miles Mayangone,2/29/2020 0:00,2020,February,Cool Season,65.62,96.21,107.38,91.18,34.18,172.02,0,0,0,0
133,Yangon,7 Miles Mayangone,3/1/2020 0:00,2020,March,Hot Season,59.82,87.81,98.82,91.98,35.44,167.68,0,0,0,0
134,Yangon,7 Miles Mayangone,3/2/2020 0:00,2020,March,Hot Season,50.99,73.97,84.72,92.34,33.8,160.54,0,0,0,0
135,Yangon,7 Miles Mayangone,3/3/2020 0:00,2020,March,Hot Season,33.67,49.79,61.2,91.65,36.48,136.19,0,0,0,0
136,Yangon,7 Miles Mayangone,3/4/2020 0:00,2020,March,Hot Season,41.13,63.9,75.1,90.76,42.29,155.34,0,0,0,0
137,Yangon,7 Miles Mayangone,3/5/2020 0:00,2020,March,Hot Season,47.87,75.88,88.67,90.69,43.86,161.52,0,0,0,0
138,Yangon,7 Miles Mayangone,3/6/2020 0:00,2020,March,Hot Season,41.67,64.77,75.49,91.43,42.61,155.79,0,0,0,0
139,Yangon,7 Miles Mayangone,3/7/2020 0:00,2020,March,Hot Season,37.46,58.15,70.31,90.72,41.71,152.37,0,0,0,0
140,Yangon,7 Miles Mayangone,3/8/2020 0:00,2020,March,Hot Season,35.8,54.91,67.88,90.9,43.38,148.79,0,0,0,0
141,Yangon,7 Miles Mayangone,3/9/2020 0:00,2020,March,Hot Season,36.2,54.15,66.18,92.07,40.16,146.92,0,0,0,0
142,Yangon,7 Miles Mayangone,3/10/2020 0:00,2020,March,Hot Season,37.37,47.75,66.89,90.67,41.67,131.16,0,0,0,0
143,Yangon,7 Miles Mayangone,3/11/2020 0:00,2020,March,Hot Season,42.0,61.14,72.99,90.71,44.26,153.91,0,0,0,0
144,Yangon,7 Miles Mayangone,3/12/2020 0:00,2020,March,Hot Season,44.5,64.09,75.33,91.84,44.94,155.44,0,0,0,0
145,Yangon,7 Miles Mayangone,3/13/2020 0:00,2020,March,Hot Season,50.87,73.06,83.24,92.75,45.34,160.07,0,0,0,0
146,Yangon,7 Miles Mayangone,3/14/2020 0:00,2020,March,Hot Season,56.23,81.8,92.22,94.02,41.6,164.58,0,0,0,0
147,Yangon,7 Miles Mayangone,3/15/2020 0:00,2020,March,Hot Season,40.82,60.61,71.66,94.52,43.29,153.64,0,0,0,0
148,Yangon,7 Miles Mayangone,3/16/2020 0:00,2020,March,Hot Season,41.4,62.11,73.54,93.89,46.78,154.41,0,0,0,0
149,Yangon,7 Miles Mayangone,3/17/2020 0:00,2020,March,Hot Season,40.8,60.37,72.03,93.99,43.22,153.51,0,0,0,0
150,Yangon,7 Miles Mayangone,3/18/2020 0:00,2020,March,Hot Season,50.16,74.01,83.97,93.23,40.18,160.56,0,0,0,0
151,Yangon,7 Miles Mayangone,3/19/2020 0:00,2020,March,Hot Season,60.78,90.99,101.81,93.21,46.84,169.32,0,0,0,0
152,Yangon,7 Miles Mayangone,3/20/2020 0:00,2020,March,Hot Season,55.31,83.29,92.98,92.56,47.78,165.35,0,0,0,0
153,Yangon,7 Miles Mayangone,3/21/2020 0:00,2020,March,Hot Season,42.21,61.68,73.1,91.85,45.79,154.19,0,0,0,0
154,Yangon,7 Miles Mayangone,3/22/2020 0:00,2020,March,Hot Season,44.63,64.43,74.12,91.98,41.09,155.61,0,0,0,0
155,Yangon,7 Miles Mayangone,3/23/2020 0:00,2020,March,Hot Season,40.02,57.37,68.96,88.58,40.9,151.97,0,0,0,0
156,Yangon,7 Miles Mayangone,3/24/2020 0:00,2020,March,Hot Season,39.97,56.85,68.29,92.37,34.69,151.7,2,2,0,0
157,Yangon,7 Miles Mayangone,3/25/2020 0:00,2020,March,Hot Season,47.39,68.11,79.09,92.25,42.13,157.51,1,3,0,0
158,Yangon,7 Miles Mayangone,3/26/2020 0:00,2020,March,Hot Season,38.67,57.19,67.99,92.89,41.2,151.87,0,3,0,0
159,Yangon,7 Miles Mayangone,3/27/2020 0:00,2020,March,Hot Season,39.31,59.83,70.34,92.95,44.48,153.24,2,5,0,0
160,Yangon,7 Miles Mayangone,3/28/2020 0:00,2020,March,Hot Season,40.71,62.25,73.77,92.9,49.08,154.49,0,5,0,0
161,Yangon,7 Miles Mayangone,3/29/2020 0:00,2020,March,Hot Season,41.76,64.3,75.53,91.91,49.86,155.54,3,8,0,0
162,Yangon,7 Miles Mayangone,3/30/2020 0:00,2020,March,Hot Season,19.18,28.92,33.4,91.19,53.36,86.37,2,10,0,0
163,Yangon,7 Miles Mayangone,3/31/2020 0:00,2020,March,Hot Season,40.76,59.16,71.7,92.67,52.59,152.89,4,14,0,0
164,Yangon,7 Miles Mayangone,4/1/2020 0:00,2020,April,Hot Season,39.34,55.29,68.55,94.31,47.71,149.73,1,15,1,1
165,Yangon,7 Miles Mayangone,4/2/2020 0:00,2020,April,Hot Season,46.26,67.45,79.56,90.14,53.06,157.17,1,16,0,1
166,Yangon,7 Miles Mayangone,4/3/2020 0:00,2020,April,Hot Season,51.24,76.13,85.81,93.73,46.84,161.65,4,20,0,1
167,Yangon,7 Miles Mayangone,4/4/2020 0:00,2020,April,Hot Season,46.25,69.27,79.38,95.09,46.89,158.11,0,20,0,1
168,Yangon,7 Miles Mayangone,4/5/2020 0:00,2020,April,Hot Season,49.7,74.7,85.66,95.86,48.75,160.91,1,21,0,1
169,Yangon,7 Miles Mayangone,4/6/2020 0:00,2020,April,Hot Season,39.9,60.37,72.27,96.09,48.25,153.51,0,21,0,1
170,Yangon,7 Miles Mayangone,4/7/2020 0:00,2020,April,Hot Season,43.19,63.79,74.6,95.98,40.2,155.28,1,22,0,1
171,Yangon,7 Miles Mayangone,4/8/2020 0:00,2020,April,Hot Season,38.9,58.62,71.26,95.0,48.18,152.61,0,22,2,3
172,Yangon,7 Miles Mayangone,4/9/2020 0:00,2020,April,Hot Season,33.72,50.08,62.93,94.97,48.98,136.9,0,22,0,3
173,Yangon,7 Miles Mayangone,4/10/2020 0:00,2020,April,Hot Season,31.72,46.38,57.33,95.25,48.36,127.79,5,27,0,3
174,Yangon,7 Miles Mayangone,4/11/2020 0:00,2020,April,Hot Season,32.56,47.02,57.85,95.81,43.81,129.37,1,28,0,3
175,Yangon,7 Miles Mayangone,4/12/2020 0:00,2020,April,Hot Season,32.63,47.67,59.86,95.66,46.51,130.97,10,38,0,3
176,Yangon,7 Miles Mayangone,4/13/2020 0:00,2020,April,Hot Season,31.58,46.05,57.62,95.58,47.85,126.98,3,41,1,4
177,Yangon,7 Miles Mayangone,4/14/2020 0:00,2020,April,Hot Season,30.27,44.18,54.92,95.3,48.09,122.37,21,62,0,4
178,Yangon,7 Miles Mayangone,4/15/2020 0:00,2020,April,Hot Season,32.72,47.64,59.73,95.78,44.77,130.89,12,74,0,4
179,Yangon,7 Miles Mayangone,4/16/2020 0:00,2020,April,Hot Season,29.27,42.44,52.87,96.1,43.68,118.09,11,85,0,4
180,Yangon,7 Miles Mayangone,4/17/2020 0:00,2020,April,Hot Season,32.81,47.87,60.39,95.27,48.26,131.46,0,85,0,4
181,Yangon,7 Miles Mayangone,4/18/2020 0:00,2020,April,Hot Season,42.25,59.72,71.34,96.08,43.03,153.18,9,94,1,5
182,Yangon,7 Miles Mayangone,4/19/2020 0:00,2020,April,Hot Season,33.79,48.88,61.26,97.09,42.43,133.95,13,107,0,5
183,Yangon,7 Miles Mayangone,4/20/2020 0:00,2020,April,Hot Season,33.6,48.2,59.06,97.83,42.74,132.27,4,111,0,5
184,Yangon,7 Miles Mayangone,4/21/2020 0:00,2020,April,Hot Season,34.36,48.79,59.35,98.38,41.08,133.72,8,119,0,5
185,Yangon,7 Miles Mayangone,4/22/2020 0:00,2020,April,Hot Season,33.6,48.39,59.36,96.78,45.48,132.74,2,121,0,5
186,Yangon,7 Miles Mayangone,4/23/2020 0:00,2020,April,Hot Season,34.14,49.38,61.02,98.17,41.59,135.18,6,127,0,5
187,Yangon,7 Miles Mayangone,4/24/2020 0:00,2020,April,Hot Season,30.96,44.4,54.58,97.64,42.35,122.91,12,139,0,5
188,Yangon,7 Miles Mayangone,4/25/2020 0:00,2020,April,Hot Season,62.85,89.5,100.74,98.19,39.35,168.56,5,144,0,5
189,Yangon,7 Miles Mayangone,4/26/2020 0:00,2020,April,Hot Season,67.69,95.15,108.25,96.98,42.75,171.47,2,146,0,5
190,Yangon,7 Miles Mayangone,4/27/2020 0:00,2020,April,Hot Season,48.78,69.85,80.55,93.0,50.78,158.41,0,146,0,5
191,Yangon,7 Miles Mayangone,4/28/2020 0:00,2020,April,Hot Season,37.35,53.17,62.5,93.55,49.36,144.51,0,146,0,5
192,Yangon,7 Miles Mayangone,4/29/2020 0:00,2020,April,Hot Season,41.5,58.9,68.02,92.62,51.7,152.76,4,150,0,5
